service_name,scom_score,endpoints_count,tables_count,method,rank,threshold_value,threshold_method,is_suspicious
inventory-service,0.9562,3,3,weighted-table-weighted-endpoint-weighted,1,0.98905,percentile,True
notification-service,1.0,3,2,weighted-table-weighted-endpoint-weighted,2,0.98905,percentile,False
order-service,1.0,4,3,weighted-table-weighted-endpoint-weighted,3,0.98905,percentile,False
user-service,1.0,3,2,weighted-table-weighted-endpoint-weighted,4,0.98905,percentile,False
