service_name,scom_score,endpoints_count,tables_count,method,rank,threshold_value,threshold_method,is_suspicious
inventory-service,0.7778,3,3,paper,1,0.94445,percentile,True
notification-service,1.0,3,2,paper,2,0.94445,percentile,False
order-service,1.0,4,3,paper,3,0.94445,percentile,False
user-service,1.0,3,2,paper,4,0.94445,percentile,False
